file,kind,direction,experiment_id,contact_id,readable,error,n_samples,nan_frac,duration_s,fs_est_hz,monotonic_time,n_dup_timestamps,dt_offgrid_frac,value_rms,value_min,value_max,spike_frac_z6,max_const_run
R67_p5.txt,segment,R,67,5.0,True,,117611,0.0,2.3521999999999963,49999.99998412932,True,0,0.0,18.423485921000584,-103.767326,99.525566,0.0,2
R67_p6.txt,segment,R,67,6.0,True,,109633,0.0,2.1926399999999973,49999.99998412932,True,0,0.0,17.07232566693847,-100.316406,93.48645,0.0,2
R68_p1.txt,segment,R,68,1.0,True,,172885,0.0,3.4576800000000034,50000.000001892884,True,0,0.0,28.290628773269866,-169.167099,145.394073,0.0,2
R68_p2.txt,segment,R,68,2.0,True,,150755,0.0,3.0150799999999975,50000.000001892884,True,0,0.0,23.651242918701005,-114.719215,122.603615,0.0,2
R68_p3.txt,segment,R,68,3.0,True,,128958,0.0,2.5791400000000024,50000.000001892884,True,0,0.0,22.16567840361857,-131.901932,146.16095,7.754462693279982e-06,2
R68_p4.txt,segment,R,68,4.0,True,,114279,0.0,2.2855599999999967,50000.000001892884,True,0,0.0,22.591038800641886,-212.447418,183.354233,0.0001312577113905442,2
R68_p5.txt,segment,R,68,5.0,True,,97121,0.0,1.9423999999999992,50000.000001892884,True,0,0.0,23.124249797342475,-128.331192,150.594421,1.0296434344786401e-05,2
R68_p6.txt,segment,R,68,6.0,True,,186752,0.0,3.7350199999999916,49999.99998412932,True,0,0.0,16.879609517500143,-297.97757,233.248825,0.0010173920493488692,3
R69_p1.txt,segment,R,69,1.0,True,,162822,0.0,3.2564199999999985,50000.000001892884,True,0,0.0,31.144539419107936,-154.932053,128.067566,0.0,3
R69_p2.txt,segment,R,69,2.0,True,,146843,0.0,2.9368400000000037,50000.000001892884,True,0,0.0,25.914128669413838,-121.333481,137.605545,0.0,2
R69_p3.txt,segment,R,69,3.0,True,,128165,0.0,2.563279999999999,50000.000001892884,True,0,0.0,25.224666099232206,-173.097321,132.261398,7.802442164397457e-06,2
R69_p4.txt,segment,R,69,4.0,True,,116908,0.0,2.3381400000000028,50000.000001892884,True,0,0.0,24.289649606917944,-136.047836,123.058945,0.0,2
R69_p5.txt,segment,R,69,5.0,True,,93774,0.0,1.8754599999999968,50000.000001892884,True,0,0.0,25.65509031725052,-133.579468,130.104568,0.0,2
R69_p6.txt,segment,R,69,6.0,True,,77291,0.0,1.5457999999999927,50000.000001892884,True,0,0.0,27.419385242843063,-191.981537,128.810486,1.2938116986453792e-05,2
R70_p1.txt,segment,R,70,1.0,True,,158534,0.0,3.1706600000000016,50000.000001892884,True,0,0.0,24.765451576165848,-104.174728,111.651726,0.0,2
R70_p2.txt,segment,R,70,2.0,True,,143526,0.0,2.8705,50000.000001892884,True,0,0.0,22.906022366639558,-116.468636,110.956749,0.0,2
R70_p3.txt,segment,R,70,3.0,True,,127283,0.0,2.545639999999999,50000.000001892884,True,0,0.0,22.679363300234478,-97.344772,109.015602,0.0,2
R70_p4.txt,segment,R,70,4.0,True,,109090,0.0,2.1817800000000034,50000.000001892884,True,0,0.0,23.78078793204124,-110.597275,101.802216,0.0,2
R70_p5.txt,segment,R,70,5.0,True,,91578,0.0,1.831540000000004,50000.000001892884,True,0,0.0,21.30680279614887,-153.877594,113.544937,1.0919653191814629e-05,2
R70_p6.txt,segment,R,70,6.0,True,,72537,0.0,1.450720000000004,50000.000001892884,True,0,0.0,24.346083913294148,-239.527573,182.155991,6.89303389994072e-05,2
R73_p1.txt,segment,R,73,1.0,True,,163088,0.0,3.261739999999996,50000.000001892884,True,0,0.0,34.68532831621183,-127.420525,141.751434,0.0,4
R73_p2.txt,segment,R,73,2.0,True,,145447,0.0,2.908920000000002,50000.000001892884,True,0,0.0,29.39999971596357,-117.762733,121.621056,0.0,2
R73_p3.txt,segment,R,73,3.0,True,,123890,0.0,2.4777800000000028,50000.000001892884,True,0,0.0,28.174304782403087,-127.324669,120.902115,0.0,2
R73_p4.txt,segment,R,73,4.0,True,,106171,0.0,2.1234000000000037,50000.000001892884,True,0,0.0,25.26694801503934,-108.128906,124.808365,0.0,2
R73_p5.txt,segment,R,73,5.0,True,,92338,0.0,1.846739999999997,49999.99998412932,True,0,0.0,25.48615499203418,-101.969971,101.203102,0.0,2
R73_p6.txt,segment,R,73,6.0,True,,75808,0.0,1.5161400000000071,49999.99998412932,True,0,0.0,24.503310480225583,-134.322372,147.287292,1.3191219924018573e-05,2
R74_p1.txt,segment,R,74,1.0,True,,161535,0.0,3.230679999999996,50000.000001892884,True,0,0.0,41.93902837761508,-220.787155,201.423645,0.0,3
R74_p2.txt,segment,R,74,2.0,True,,147578,0.0,2.9515399999999943,50000.000001892884,True,0,0.0,37.611807785642945,-195.432465,182.755112,0.0,2
R74_p3.txt,segment,R,74,3.0,True,,129944,0.0,2.598860000000002,50000.000001892884,True,0,0.0,28.185284845519526,-144.052048,172.114761,7.695622729791295e-06,3
R74_p4.txt,segment,R,74,4.0,True,,112614,0.0,2.2522599999999997,50000.000001892884,True,0,0.0,28.455896551722333,-148.629318,142.829849,0.0,4
R74_p5.txt,segment,R,74,5.0,True,,94914,0.0,1.8982600000000005,50000.000001892884,True,0,0.0,28.998243789925233,-155.459274,146.424561,0.0,2
R74_p6.txt,segment,R,74,6.0,True,,71307,0.0,1.4261199999999974,50000.000001892884,True,0,0.0,30.29366837734631,-147.862442,167.489563,0.0,2
R75_p1.txt,segment,R,75,1.0,True,,160649,0.0,3.212959999999999,50000.000001892884,True,0,0.0,55.64651777712908,-213.31015,176.188766,0.0,3
R75_p2.txt,segment,R,75,2.0,True,,147069,0.0,2.941359999999996,50000.000001892884,True,0,0.0,35.23950812116879,-188.770264,175.49379,0.0,2
R75_p3.txt,segment,R,75,3.0,True,,131805,0.0,2.6360799999999998,50000.000001892884,True,0,0.0,23.952372037029104,-141.272141,156.777328,7.586965593111035e-06,3
R75_p4.txt,segment,R,75,4.0,True,,111231,0.0,2.2245999999999952,50000.000001892884,True,0,0.0,25.800737680472203,-131.782104,135.928009,0.0,3
R75_p5.txt,segment,R,75,5.0,True,,91932,0.0,1.8386199999999988,50000.000001892884,True,0,0.0,25.995046770957458,-120.111282,126.557793,0.0,2
R75_p6.txt,segment,R,75,6.0,True,,73449,0.0,1.4689600000000027,50000.000001892884,True,0,0.0,26.79697329346645,-161.570282,158.335037,1.3614889242876009e-05,3
R76_p1.txt,segment,R,76,1.0,True,,161271,0.0,3.225399999999997,50000.000001892884,True,0,0.0,51.885309770696665,-195.672104,170.509125,0.0,3
R76_p2.txt,segment,R,76,2.0,True,,145475,0.0,2.909480000000002,50000.000001892884,True,0,0.0,26.755515774210163,-160.491867,162.648697,6.874033339061694e-06,3
R76_p3.txt,segment,R,76,3.0,True,,128043,0.0,2.560839999999999,50000.000001892884,True,0,0.0,29.007394289279024,-179.951233,146.927826,7.809876369657068e-06,3
R76_p4.txt,segment,R,76,4.0,True,,111570,0.0,2.2313800000000015,50000.000001892884,True,0,0.0,26.591698417613394,-153.661911,129.433563,0.0,3
R76_p5.txt,segment,R,76,5.0,True,,91998,0.0,1.8399399999999986,50000.000001892884,True,0,0.0,27.190335244980393,-163.918823,141.655579,1.0869801517424292e-05,2
R76_p6.txt,segment,R,76,6.0,True,,72571,0.0,1.4513999999999925,49999.99998412932,True,0,0.0,29.326861148422793,-146.760071,172.234589,0.0,2
R77_p1.txt,segment,R,77,1.0,True,,165669,0.0,3.3133599999999994,50000.000001892884,True,0,0.0,31.6892758739935,-144.938751,126.198326,0.0,2
