experiment_id,contact_id,channel,original_n_samples,active_window_n_samples,retained_fraction,original_duration_s,active_duration_s,rms_full,rms_active,energy_full,energy_active,waveform_length_full,waveform_length_active,dominant_frequency_full,dominant_frequency_active,notes
73,1,rotational,163088,150005,0.9198,3.2618,3.0001,34.6853,36.1162,196206606.3894106,195663944.68433127,2674538.52,2633585.08,4913.3,4879.5,low_contrast
73,2,rotational,145447,133791,0.9199,2.9089,2.6758,29.4,30.5785,125718566.46288036,125100225.05395558,1823502.06,1776059.26,2150.27,2150.37,
73,3,rotational,123890,117482,0.9483,2.4778,2.3496,28.1743,28.8851,98342822.73281527,98021234.70367628,1440042.88,1416100.02,1975.54,1975.62,low_contrast
73,4,rotational,106171,100990,0.9512,2.1234,2.0198,25.2669,25.8733,67781547.75520903,67605596.10846937,1301542.23,1284257.76,2151.25,2151.2,low_contrast
73,5,rotational,92338,85344,0.9243,1.8468,1.7069,25.4862,26.4664,59977602.761961676,59781021.12651847,1059577.34,1035329.96,2152.42,2152.47,
73,6,rotational,75808,69984,0.9232,1.5162,1.3997,24.5033,25.4614,45516049.87985685,45369564.25647561,894819.37,874504.46,2116.53,2116.2,
74,1,rotational,161535,150028,0.9288,3.2307,3.0006,41.939,43.4839,284121020.2259672,283680388.178217,3877335.02,3835661.46,4846.94,4846.43,
74,2,rotational,147578,132824,0.9,2.9516,2.6565,37.6118,39.5225,208770935.07174295,207474473.0309554,3081245.64,2994304.7,4779.17,4779.26,
74,3,rotational,129944,117344,0.903,2.5989,2.3469,28.1853,29.5911,103228849.66117913,102750204.18100703,2277416.25,2221757.11,2194.02,4783.8,
74,4,rotational,112614,102669,0.9117,2.2523,2.0534,28.4559,29.7651,91187840.60072029,90960638.93112867,2136461.08,2101112.99,1997.98,2023.49,
74,5,rotational,94914,86031,0.9064,1.8983,1.7206,28.9982,30.4134,79813006.27160698,79576617.43134873,1797496.65,1762135.65,4765.37,5074.91,
74,6,rotational,71307,68376,0.9589,1.4261,1.3675,30.2937,30.9081,65438886.194403924,65320524.23109892,1385769.31,1371093.08,2153.37,2153.53,low_contrast
75,1,rotational,160649,149954,0.9334,3.213,2.9991,55.6465,57.5772,497455241.63628733,497118011.89510405,4345978.79,4314512.8,4913.82,4914.84,
75,2,rotational,147069,133384,0.9069,2.9414,2.6677,35.2395,36.9464,182633656.8774076,182073580.96713185,2415235.5,2360720.32,4780.41,4780.18,
75,3,rotational,131805,118640,0.9001,2.6361,2.3728,23.9524,25.1706,75618653.96760243,75165436.14510572,1673202.78,1625702.75,2063.28,2063.39,
75,4,rotational,111231,101293,0.9107,2.2246,2.0259,25.8007,26.9948,74044036.83204757,73814007.49048023,1582146.62,1549948.65,2125.31,2125.02,
75,5,rotational,91932,84802,0.9224,1.8386,1.696,25.995,27.0112,62122355.52217279,61871929.03619427,1337698.31,1308757.94,2152.13,2152.07,
75,6,rotational,73449,68323,0.9302,1.469,1.3665,26.797,27.7446,52742094.60538549,52592328.91636146,1105922.56,1086067.49,4693.73,2153.74,
76,1,rotational,161271,148529,0.921,3.2254,2.9706,51.8853,54.0058,434155299.6899002,433203111.9629891,4052585.91,3998820.75,4929.9,4930.01,
76,2,rotational,145475,133469,0.9175,2.9095,2.6694,26.7555,27.8583,104139387.89755978,103582999.2779761,1952731.35,1903633.44,1996.22,1996.34,
76,3,rotational,128043,116792,0.9121,2.5609,2.3358,29.0074,30.2845,107739083.6383872,107115976.5670065,1819879.84,1770725.16,2172.32,2172.24,
76,4,rotational,111570,101128,0.9064,2.2314,2.0226,26.5917,27.8974,78893202.62895106,78704094.06093849,1531177.57,1499707.48,4763.38,4763.27,
76,5,rotational,91998,85110,0.9251,1.84,1.7022,27.1903,28.231,68015439.78054412,67831654.5476078,1315668.01,1291092.02,5012.07,5012.34,
76,6,rotational,72571,68507,0.944,1.4514,1.3701,29.3269,30.1532,62415761.49892615,62287758.8575825,1085488.4,1068722.43,4807.02,4730.9,
77,1,rotational,165669,149559,0.9028,3.3134,2.9912,31.6893,33.2751,166366500.43331355,165596756.3502947,2901011.84,2845180.99,4777.0,4777.04,
77,2,rotational,160270,137354,0.857,3.2054,2.7471,21.0991,22.7049,71347512.93606985,70807934.96084069,1975449.64,1892566.98,2226.56,2226.73,
77,3,rotational,133737,113601,0.8494,2.6747,2.272,21.5409,23.2713,62055207.25358754,61521246.46038049,1622495.38,1567798.26,2106.75,2106.94,
77,4,rotational,49813,36867,0.7401,0.9963,0.7373,8.0006,9.0593,3188491.7397598163,3025737.2172504533,154322.69,127338.49,8208.7,8213.31,
