model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
RandomForest,SOLO_A,N,CT,grid,loeo,none,SOLO_A_N_CT_grid,95,52.63250833333333,60.661576793825546,-0.02169450983099419,35.84470060678061,9,9,0,10,10,
XGBoost,SOLO_A,N,CT,grid,loeo,none,SOLO_A_N_CT_grid,95,52.12756195068359,62.64597517017984,-0.08963242395175275,33.330179501054026,9,9,0,10,10,
MLP,SOLO_A,N,CT,none,loeo,none,SOLO_A_N_CT_grid,95,249.23440059366698,407.77972954741705,-45.16841200374396,154.89151846778228,9,9,0,10,10,
BNN,SOLO_A,N,CT,none,loeo,none,SOLO_A_N_CT_grid,95,48.481640625,53.76931178175647,0.19728269521148822,32.12443750686531,9,9,0,10,10,
DummyRegressor,SOLO_A,A,ST,none,loeo,feature_noise,SOLO_A_A_ST_feature_noise,95,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_A,A,ST,none,loeo,feature_noise,SOLO_A_A_ST_feature_noise,95,31.785194680575206,45.727968895716536,0.4194261195917418,20.869344257618312,36,9,27,10,10,
Lasso,SOLO_A,A,ST,none,loeo,feature_noise,SOLO_A_A_ST_feature_noise,95,27.453716096482786,38.54968843861045,0.5873941181184565,18.23250560006265,36,9,27,10,10,
ElasticNet,SOLO_A,A,ST,none,loeo,feature_noise,SOLO_A_A_ST_feature_noise,95,19.373963157729463,26.69487143477136,0.8021439488354156,14.865807026280109,36,9,27,10,10,
SVR,SOLO_A,A,ST,none,loeo,feature_noise,SOLO_A_A_ST_feature_noise,95,56.59579509506216,67.87937975607336,-0.27929116500010354,36.56975157236067,36,9,27,10,10,
RandomForest,SOLO_A,A,ST,none,loeo,feature_noise,SOLO_A_A_ST_feature_noise,95,53.317863492063495,66.23829374911558,-0.21818134231267128,34.33255422800169,36,9,27,10,10,
XGBoost,SOLO_A,A,ST,none,loeo,feature_noise,SOLO_A_A_ST_feature_noise,95,58.67725601196289,66.27198810706224,-0.2194209961608573,38.93665797239798,36,9,27,10,10,
MLP,SOLO_A,A,ST,none,loeo,feature_noise,SOLO_A_A_ST_feature_noise,95,253.07055126366632,408.96511201517916,-45.43721776321339,160.1246230819552,36,9,27,10,10,
BNN,SOLO_A,A,ST,none,loeo,feature_noise,SOLO_A_A_ST_feature_noise,95,52.30066070556641,59.27387946642737,0.024515494948049388,36.12429821139052,36,9,27,10,10,
DummyRegressor,SOLO_A,A,CT,none,loeo,feature_noise,SOLO_A_A_CT_random_feature_noise,95,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_A,A,CT,random,loeo,feature_noise,SOLO_A_A_CT_random_feature_noise,95,33.17040996113039,48.02568050769671,0.359615628155849,21.654635580911084,36,9,27,10,10,
Lasso,SOLO_A,A,CT,random,loeo,feature_noise,SOLO_A_A_CT_random_feature_noise,95,26.268621448232853,36.522870497214775,0.6296405106057652,17.86989953788794,36,9,27,10,10,
ElasticNet,SOLO_A,A,CT,random,loeo,feature_noise,SOLO_A_A_CT_random_feature_noise,95,29.11487908976065,41.18708580134773,0.52900553995275,18.911908972530462,36,9,27,10,10,
SVR,SOLO_A,A,CT,random,loeo,feature_noise,SOLO_A_A_CT_random_feature_noise,95,52.59915601414794,64.55575429625273,-0.15708054073453082,35.614665498066344,36,9,27,10,10,
RandomForest,SOLO_A,A,CT,random,loeo,feature_noise,SOLO_A_A_CT_random_feature_noise,95,52.751055447330444,65.7501089032609,-0.2002912024051673,34.17534969812887,36,9,27,10,10,
