rank,model,data_branch,tuning_method,validation_type,augmentation_strategy,MAE,RMSE,R2,MAPE_%,interpretation_note,branch_id
101,Lasso,A,random,loeo,grouped_scaling,40.30153023290798,60.64732940551491,-0.021214642021116115,28.60053532557929,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",FUSION_A_CT_random_grouped_scaling
102,Lasso,A,grid,loeo,grouped_scaling,40.30153023290798,60.64732940551491,-0.021214642021116115,28.60053532557929,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",FUSION_A_CT_grid_grouped_scaling
103,Ridge,A,random,loeo,feature_scaling,40.465994725179755,64.23350486124927,-0.14555754292016654,25.199702966409482,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",FUSION_A_CT_random_feature_scaling
104,Ridge,A,grid,loeo,feature_scaling,40.465994725179755,64.23350486124927,-0.14555754292016654,25.199702966409482,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",FUSION_A_CT_grid_feature_scaling
105,Ridge,A,none,loeo,feature_noise,40.83995059687994,59.9392356892472,0.0024927256340427917,27.307905655984865,"LOEO-CV (honest, n=10); aug:feature_noise",FUSION_A_ST_feature_noise
106,Ridge,A,random,loeo,feature_noise,40.83995059687994,59.9392356892472,0.0024927256340427917,27.307905655984865,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",FUSION_A_CT_random_feature_noise
107,Ridge,A,grid,loeo,feature_noise,40.83995059687994,59.9392356892472,0.0024927256340427917,27.307905655984865,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",FUSION_A_CT_grid_feature_noise
108,XGBoost,N,random,loeo,none,40.97562255859375,58.127967914555796,0.061867997002621467,26.45969068812602,"LOEO-CV (honest, n=10); tuning:random",FUSION_N_CT_random
109,Ridge,A,none,loeo,grouped_scaling,41.14998337956623,66.69678283939967,-0.2351037543836474,25.40060708346222,"LOEO-CV (honest, n=10); aug:grouped_scaling",FUSION_A_ST_grouped_scaling
110,XGBoost,N,grid,loeo,none,41.49287872314453,53.86868450755524,0.19431290017338498,24.58946301417674,"LOEO-CV (honest, n=10); tuning:grid",SOLO_R_N_CT_grid
111,XGBoost,A,grid,loeo,feature_scaling,41.802984619140624,52.55058881830143,0.23325872433491313,24.969307798652192,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",FUSION_A_CT_grid_feature_scaling
112,BNN,A,none,loeo,grouped_scaling,41.81128845214844,52.73721348890942,0.22780314614117003,25.34374629288681,"LOEO-CV (honest, n=10); aug:grouped_scaling",FUSION_A_ST_grouped_scaling
113,BNN,A,none,loeo,grouped_scaling,41.81128845214844,52.73721348890942,0.22780314614117003,25.34374629288681,"LOEO-CV (honest, n=10); aug:grouped_scaling",FUSION_A_CT_random_grouped_scaling
114,BNN,A,none,loeo,grouped_scaling,41.81128845214844,52.73721348890942,0.22780314614117003,25.34374629288681,"LOEO-CV (honest, n=10); aug:grouped_scaling",FUSION_A_CT_grid_grouped_scaling
115,XGBoost,A,grid,loeo,feature_noise,41.94287948608398,56.60892273975395,0.11025931333473127,25.378376614877464,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",SOLO_R_A_CT_grid_feature_noise
116,XGBoost,A,random,loeo,feature_scaling,41.943782043457034,53.25889359628898,0.21245033661952284,27.85881918772536,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",SOLO_R_A_CT_random_feature_scaling
117,BNN,A,none,loeo,feature_scaling,42.063046264648435,58.07179071414915,0.0636804175962008,25.722047244172124,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_R_A_ST_feature_scaling
118,BNN,A,none,loeo,feature_scaling,42.063046264648435,58.07179071414915,0.0636804175962008,25.722047244172124,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_R_A_CT_random_feature_scaling
119,BNN,A,none,loeo,feature_scaling,42.063046264648435,58.07179071414915,0.0636804175962008,25.722047244172124,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_R_A_CT_grid_feature_scaling
120,XGBoost,A,random,loeo,feature_noise,42.60291519165039,55.82926676824342,0.1345987500646394,25.65898990064177,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",SOLO_R_A_CT_random_feature_noise
121,XGBoost,N,none,loeo,none,43.02733535766602,56.30775121278259,0.11970134946632838,26.092750257619706,"LOEO-CV (honest, n=10)",SOLO_R_N_ST
122,XGBoost,A,random,loeo,feature_scaling,43.29675064086914,52.53076899129275,0.2338369790802196,25.293432287016028,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",FUSION_A_CT_random_feature_scaling
123,XGBoost,A,random,loeo,feature_noise,43.725830078125,55.44794135639002,0.1463801158173894,26.27263301620563,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",FUSION_A_CT_random_feature_noise
124,Ridge,A,none,loeo,feature_scaling,43.936611152513514,73.08826331400984,-0.48316324676972067,26.813731969468456,"LOEO-CV (honest, n=10); aug:feature_scaling",FUSION_A_ST_feature_scaling
125,XGBoost,A,grid,loeo,feature_noise,44.055345916748045,55.410576009061586,0.1475302056379113,27.0530249900614,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",FUSION_A_CT_grid_feature_noise
126,XGBoost,A,grid,loeo,grouped_scaling,44.31729507446289,55.554340902119996,0.14310093509742283,27.400179783052568,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",SOLO_R_A_CT_grid_grouped_scaling
127,Ridge,A,random,loeo,feature_scaling,44.60726140118592,78.19464679641492,-0.6976482672345707,25.86190181751693,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",SOLO_R_A_CT_random_feature_scaling
