model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
MLP,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,235.7455084346097,598.3349829769296,-98.39910204765059,103.80419901672524,36,9,27,10,10,
BNN,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,46.503213500976564,59.57227040368363,0.014669391022103295,29.126400657643458,36,9,27,10,10,
DummyRegressor,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,40.87139713144638,61.272323923095264,-0.042371131034795395,26.875181458650367,36,9,27,10,10,
Lasso,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,37.92839478787824,49.40780725919908,0.3222261165835578,22.687803798367145,36,9,27,10,10,
ElasticNet,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,34.93638510127006,43.493665229228185,0.4747746432724158,25.181088792199922,36,9,27,10,10,
SVR,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,60.21226408540029,70.24373912686677,-0.36996323573747714,39.83497999341454,36,9,27,10,10,
RandomForest,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,57.43057743294288,69.25822236763653,-0.331791843696984,38.11208024227561,36,9,27,10,10,
XGBoost,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,52.089256286621094,64.18410061764486,-0.1437960435506549,32.03038457394047,36,9,27,10,10,
MLP,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,235.7455084346097,598.3349829769296,-98.39910204765059,103.80419901672524,36,9,27,10,10,
BNN,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,46.503213500976564,59.57227040368363,0.014669391022103295,29.126400657643458,36,9,27,10,10,
DummyRegressor,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,43.936611152513514,73.08826331400984,-0.48316324676972067,26.813731969468456,36,9,27,10,10,
Lasso,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,35.14451421220083,41.32478153914354,0.5258510395792146,22.01390348426838,36,9,27,10,10,
ElasticNet,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,24.411414565374233,34.965841246187736,0.6605454511483211,15.619579459355403,36,9,27,10,10,
SVR,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,52.57572490658811,64.88425175782739,-0.16888630786467607,34.23830624424381,36,9,27,10,10,
RandomForest,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,55.391662103174596,67.99992075257354,-0.28383875968122796,36.90514286041752,36,9,27,10,10,
XGBoost,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,50.15254211425781,62.6571275515012,-0.09002041625045187,30.807103679040836,36,9,27,10,10,
MLP,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,223.28698443497888,579.6427416440089,-92.28557092381165,94.94907693272738,36,9,27,10,10,
BNN,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,35.334468841552734,48.39691097314058,0.3496772371464243,20.9690980402096,36,9,27,10,10,
DummyRegressor,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,random,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,35.03105264014621,61.68647764118173,-0.056510006073819063,20.454844061766178,36,9,27,10,10,
Lasso,FUSION,A,CT,random,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,36.54909934960709,43.68738020984918,0.4700856571220948,25.626589484441674,36,9,27,10,10,
ElasticNet,FUSION,A,CT,random,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,29.53799843191772,37.87013142368008,0.601812800644475,20.280692156860873,36,9,27,10,10,
SVR,FUSION,A,CT,random,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,60.89536386728262,70.25532106259922,-0.37041503783193375,40.30566597894104,36,9,27,10,10,
RandomForest,FUSION,A,CT,random,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,56.63395120018872,68.88761374575961,-0.3175768396461014,37.80641554447258,36,9,27,10,10,
XGBoost,FUSION,A,CT,random,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,38.45881729125976,50.86907407721121,0.28154208233556977,22.819646862739763,36,9,27,10,10,
MLP,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,223.28698443497888,579.6427416440089,-92.28557092381165,94.94907693272738,36,9,27,10,10,
BNN,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,35.334468841552734,48.39691097314058,0.3496772371464243,20.9690980402096,36,9,27,10,10,
DummyRegressor,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,35.03105264014621,61.68647764118173,-0.056510006073819063,20.454844061766178,36,9,27,10,10,
Lasso,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,36.54909934960709,43.68738020984918,0.4700856571220948,25.626589484441674,36,9,27,10,10,
ElasticNet,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,29.53799843191772,37.87013142368008,0.601812800644475,20.280692156860873,36,9,27,10,10,
SVR,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,60.005799779774215,70.09881624495756,-0.3643162068207777,39.71671963846984,36,9,27,10,10,
RandomForest,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,56.86582171921218,68.9565349479861,-0.32021459704550614,38.0076767373121,36,9,27,10,10,
XGBoost,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,50.03675231933594,61.53107907604875,-0.05119365971612333,30.089091683801644,36,9,27,10,10,
